Ticker,Sector,Industry
QUADPRO.NS,Commercial Services,Miscellaneous Commercial Services
QUESS.NS,Commercial Services,Personnel Services
QUESTLAB.NS,Health Technology,Pharmaceuticals: Major
QUICKHEAL.NS,Technology Services,Packaged Software
QUICKTOUCH.NS,Technology Services,Information Technology Services
QUINT.NS,Producer Manufacturing,Trucks/Construction/Farm Machinery
QUINTEGRA.NS,Technology Services,Information Technology Services
QVCEL.NS,Distribution Services,Wholesale Distributors
RACE.NS,Process Industries,Textiles
RACLGEAR.NS,Producer Manufacturing,Auto Parts: OEM
RADAAN.NS,Consumer Services,Movies/Entertainment
RADHIKAJWE.NS,Consumer Durables,Other Consumer Specialties
RADIANTCMS.NS,Commercial Services,Miscellaneous Commercial Services
RADICO.NS,Consumer Non-Durables,Beverages: Alcoholic
RADIOCITY.NS,Consumer Services,Broadcasting
RADIOWALLA.NS,Technology Services,Packaged Software
RAILTEL.NS,Communications,Major Telecommunications
RAIN.NS,Process Industries,Industrial Specialties
RAINBOW.NS,Health Services,Hospital/Nursing Management
RAJESHEXPO.NS,Consumer Durables,Other Consumer Specialties
RAJINDLTD.NS,Non-Energy Minerals,Other Metals/Minerals
RAJMET.NS,Non-Energy Minerals,Other Metals/Minerals
RAJOOENG.NS,Producer Manufacturing,Industrial Machinery
RAJPALAYAM.NS,Process Industries,Textiles
RAJPUTANA.NS,Process Industries,Chemicals: Specialty
RAJRATAN.NS,Producer Manufacturing,Metal Fabrication
RAJRILTD.NS,Process Industries,Textiles
RAJSREESUG.NS,Process Industries,Agricultural Commodities/Milling
RAJTV.NS,Consumer Services,Broadcasting
RALLIS.NS,Process Industries,Chemicals: Agricultural
RAMANEWS.NS,Process Industries,Pulp & Paper
RAMAPHO.NS,Process Industries,Chemicals: Agricultural
RAMASTEEL.NS,Non-Energy Minerals,Steel
RAMBHAJO.NS,Consumer Durables,Other Consumer Specialties
RAMCOCEM.NS,Non-Energy Minerals,Construction Materials
RAMCOIND.NS,Non-Energy Minerals,Construction Materials
RAMCOSYS.NS,Technology Services,Information Technology Services
RAMKY.NS,Industrial Services,Engineering & Construction
