Symbol,Description,"Relative volume, 1 day","Price change %, 1 day","Performance %, 1 week","Performance %, 1 month","Performance %, 3 months","Performance %, 6 months","Performance %, 1 year","Performance %, All Time",Industry,Price,Price - Currency,"High, 52 weeks","High, 52 weeks - Currency","Simple moving average, 50, 1 day","Simple moving average, 200, 1 day","Exponential moving average, 20, 1 day"
SANGAMIND,Sangam (India) Limited,0.20585887483458964,1.2153536766634487,-0.20689655172414578,-5.993178496020803,11.083389310047021,32.58504180506241,53.060954647626595,6023.053486797562,Textiles,578.8,INR,672.5,INR,589.575,500.8329999999998,584.1464259023535
PAGEIND,Page Industries Limited,0.6701273532668881,1.2128816394813886,1.3966480446927374,-9.791252485089464,-6.791629220695853,15.734098517455763,-20.23731048121292,10933.434650455927,Apparel/Footwear,36300,INR,45890,INR,38953.00000000008,36540.475000000035,36611.35629251797
SWANDEF,Swan Defence and Heavy Industries Ltd,0.5443407806098046,1.2128514056224826,6.337552742616026,1.4164989939637753,25.32073595226255,26.016300815040736,430.68014318803955,6567.195767195767,Trucks/Construction/Farm machinery,2520.2,INR,2750,INR,2383.5959999999986,1596.31305,2431.2983085278406
DREDGECORP,Dredging Corporation of India Limited,1.2873088434773092,1.209639899506839,-2.10602106021059,-1.6279280094058062,-10.248370327584787,12.715025906735756,67.33846153846154,97.40471869328495,Marine shipping,1087.7,INR,1286,INR,1078.9100000000003,1005.4920000000005,1097.7832256456616
IIFL,IIFL Finance Limited,0.5003271405812136,1.2045383898041655,2.7617770062337255,6.641008843760228,22.627118644067792,32.86064068557437,47.98863636363635,8469.051469682932,Finance/Rental/Leasing,651.15,INR,705,INR,593.498,536.4907499999999,637.6810611876206
SUPRIYA,Supriya Lifescience Limited,1.4023896003181633,1.2044618488192687,9.627868114917408,-4.3836537922529315,-10.424325175926898,37.092107378235006,27.29104477611941,102.57719714964371,Pharmaceuticals: major,852.85,INR,1085,INR,855.5859999999997,757.3507499999992,823.3007037194554
VIPIND,V.I.P.INDUSTRIES LTD.,1.0636069198213975,1.1922023521830154,3.852513227513239,3.955643826547497,-5.1065115576370985,-12.533073388107505,-27.804597701149422,1259.5238095238094,Other consumer specialties,314.05,INR,454.3,INR,303.97799999999785,333.4109999999992,306.6780576478313
GESHIP,Great Eastern Shipping Co. Ltd.,1.0143698352969344,1.189420803782516,3.38138727451128,-5.537931034482756,-8.1970509383378,-1.8558326167956338,41.9378238341969,392.6978417266187,Marine shipping,1369.7,INR,1798,INR,1369.1119999999999,1331.0979999999993,1334.003833881217
REFEX,Refex Industries Limited,0.9312915825237928,1.1817367949865754,-2.6696520840509814,-8.248092222763429,-10.96581061919017,32.032710280373834,-23.974169245257627,4611.564853176934,Coal,282.55,INR,415,INR,311.8359999999999,275.5414999999998,290.5107756542662
ULTRACEMCO,UltraTech Cement Limited,1.1481106473395037,1.1796008869179602,-2.5373771892353694,-5.3199435637812265,2.774774774774775,-6.184210526315789,-12.246153846153845,3640.3278688524592,Construction materials,11408,INR,13110,INR,11701.680000000015,11767.920000000007,11569.796883685238
