Ticker,Industry,Sector,Current_Price,High_52W,Pct_From_High,RS_Percentile,Return_3M,Return_6M,Avg_Volume,Industry_Rank
TNPETRO.NS,Chemicals: Specialty,Process Industries,139.17999267578125,146.99000549316406,-5.313295139475338,90,53.79004715555939,64.16607062958435,501514.2529644269,11
BETA.NS,Pharmaceuticals: Major,Health Technology,2139.800048828125,2807.89990234375,-23.793578003188898,90,44.972903037135836,99.2550516977253,20809.828685258963,13
BLUESTONE.NS,Specialty Stores,Retail Trade,868.7000122070312,926.0,-6.18790364934868,90,66.89721656234991,72.84122595655391,1583799.4722222222,8
VENUSREM.NS,Pharmaceuticals: Major,Health Technology,1625.199951171875,2031.2182849222206,-19.98890699065822,89,-4.6313982832611895,116.34374012825629,65737.384,13
SANSERA.NS,Auto Parts: OEM,Producer Manufacturing,4033.60009765625,4094.300048828125,-1.4825476991909392,89,40.96103783526996,84.63791620185776,221120.9126984127,18
SENORES.NS,Pharmaceuticals: Major,Health Technology,1509.800048828125,1599.0,-5.578483500429954,89,17.038763475048448,103.49080450002548,310446.6442687747,13
IGPL.NS,Chemicals: Specialty,Process Industries,584.5499877929688,587.9500122070312,-0.5782846064242064,89,37.68046157105027,79.39423307731765,42908.788,11
AYMSYNTEX.NS,Textiles,Process Industries,320.1000061035156,325.0,-1.5076904296875027,89,48.80758923121482,67.50392249078365,45151.78087649403,17
ACCENTMIC.NS,Pharmaceuticals: Major,Health Technology,623.5999755859375,624.2000122070312,-0.09612890249267592,89,35.55170482730696,82.16488737385868,43614.4578313253,13
VARROC.NS,Auto Parts: OEM,Producer Manufacturing,849.4500122070312,896.0,-5.195311137608116,89,51.59045166962679,76.04558057873192,279763.0,18
FILATEX.NS,Textiles,Process Industries,76.44000244140625,87.2699966430664,-12.409756638303481,89,47.22651220570917,85.71429233426574,1908292.2142857143,17
QPOWER.NS,Electrical Products,Producer Manufacturing,1519.699951171875,1570.0,-3.2038247661226094,89,24.47771258399163,84.32028668335305,709031.2292490118,19
GHCLTEXTIL.NS,Textiles,Process Industries,131.9600067138672,144.58999633789062,-8.735036962383324,88,44.377637965534866,77.56191756985311,432811.9601593625,17
SOTL.NS,Chemicals: Specialty,Process Industries,681.3499755859375,850.0999755859375,-19.850606381171566,88,20.33556554300171,96.71363252093552,317039.40316205536,11
SPORTKING.NS,Textiles,Process Industries,215.60000610351562,240.46267240987245,-10.339511765875253,88,24.72728412264258,94.34485700183437,370799.9442231076,17
CARTRADE.NS,Internet Software/Services,Technology Services,3176.699951171875,3290.5,-3.458442450330501,88,33.17263692560066,80.36108914466229,615765.9920634921,10
