Ticker,Current_Price,High_52W,Pct_From_High,Avg_Volume,Return_1W,Return_1M,Return_3M,Return_6M,RS_Composite,EMA_10,EMA_20,SMA_50,SMA_100,SMA_200,RS_Percentile
STEELCAS.NS,332.1499938964844,364.0,-8.75000167679001,134107.48192771085,-5.045738854322268,0.1658588006168582,16.943717747214237,46.895036479839256,0.23369727790791117,335.18280933292664,336.2579829255917,324.29481628417966,306.23149322509767,263.94862480163573,71
EXPLEOSOL.NS,875.8499755859375,1032.5221988494377,-15.173738970269458,71312.74297188755,2.5105279212257914,4.829440524947626,28.461033360204357,33.80674122771068,0.23277947396257687,882.3161185340886,866.9586782109232,797.8434106445312,771.631821899414,775.6009573364258,71
JAGSNPHARM.NS,236.97000122070312,260.14646303072993,-8.90900515810168,217192.548,0.03973228888776159,4.206425811949477,17.79968419502842,43.18397393675517,0.23458753224489268,236.313514633266,233.77527698762333,229.0165444946289,217.33998641967773,200.05565628051758,71
NOCIL.NS,182.86000061035156,202.60776684401816,-9.746796256270784,1539010.5158730159,7.596354159418484,10.183172579416544,14.248091187875133,40.60164896051521,0.23311356872393782,174.21862435765232,170.82435244925804,168.09841766357422,169.38264694213868,159.58590404510497,71
SHANTIGOLD.NS,264.2300109863281,280.75,-5.884234733275829,1118810.111111111,8.602551447612527,16.00737850900391,17.144003301245412,32.80559010350683,0.2232716787833839,256.4318658964968,250.57857507359023,231.92262268066406,225.20751129150392,211.64870567321776,70
EDELWEISS.NS,137.61000061035156,139.8000030517578,-1.566525317310219,5464610.869047619,9.058488094413919,15.560966152474865,25.179659991206726,26.654393628862305,0.22233697488843307,132.58033927653628,128.9926061448646,122.64599990844727,119.65749992370606,114.97164989471436,70
GALAPREC.NS,1047.199951171875,1260.0,-16.88889276413691,36715.808,3.7242448984921683,5.035100418442839,13.727189949455765,42.38900452653542,0.22453203368988683,1037.0697118759672,1045.1794774121531,1097.9439916992187,1000.2239971923829,875.6639984130859,70
VOLTAMP.NS,11358.0,12724.746990128295,-10.740857882585807,55990.748,4.120639867992848,13.978926241846468,17.70969045546473,33.35738154012713,0.21863708987858851,11024.189962064336,10735.196709433452,10011.62896484375,9956.486123046874,9012.417307128906,70
LLOYDSME.NS,1816.0,2125.0,-14.541176470588235,524426.3784860558,1.452513966480451,-11.535465861047022,8.53454775253315,55.20031631224984,0.22478649075098522,1826.216628936144,1854.3115220937893,1891.497998046875,1822.1440087890626,1544.913187866211,70
VENKEYS.NS,1695.800048828125,1800.0,-5.78888617621528,91000.9357429719,-0.3642744519315566,7.77933281522889,23.169667975500108,34.203868438805095,0.2215188688602469,1639.4567032675925,1602.2695754093418,1528.22599609375,1515.800997314453,1465.5469995117187,70
STAR.NS,1186.5,1225.262710817159,-3.163624459876613,385871.39285714284,13.237253741971,18.318709058955097,12.937554523656702,33.3470341428655,0.2220754720023133,1097.7409170287003,1059.566319991927,1039.21744140625,1065.8140899658204,982.2255856323242,70
BUILDPRO.NS,1303.699951171875,1380.0,-5.528989045516308,85212.22289156627,2.4599124612738166,2.3955388917449527,27.4007428909667,32.14928391931353,0.21805035459491795,1276.3583803031158,1267.565521799662,1232.249998779297,1160.4821685791017,,70
POWERICA.NS,538.0999755859375,676.9500122070312,-20.511121075012152,396302.59821428574,5.025861467164439,0.25150919160457086,22.031967499593396,37.97435271434295,0.2235221932065256,521.6743253160633,526.8222990278039,545.7079968261719,538.0239962768554,,70
MATRIMONY.NS,514.0999755859375,566.3557799316015,-9.226674503432264,40696.076305220886,-0.8868395050774969,6.925954375711774,31.662114590398318,27.84347479899367,0.2193253122135157,520.9862858905583,513.2120192973381,469.73216796875,440.58369201660156,461.1828137207031,70
SHAREINDIA.NS,170.25999450683594,209.3574059154358,-18.674959807436764,1502943.164,-1.4185699217128978,1.0804987170804692,30.511637394759084,32.42467815849957,0.22197605233072354,170.64656309133701,171.4487346280787,171.44265808105467,155.4439324951172,151.33608951568604,70
SEAMECLTD.NS,1799.0,1812.199951171875,-0.7283937494501735,77097.97983870968,7.415807711420785,17.89750968505588,13.64968410395948,33.81279547956444,0.21941106131166874,1722.087183808599,1661.7808032018886,1521.2920483398439,1530.44875,1368.1812420654296,70
PENIND.NS,178.4600067138672,279.8999938964844,-36.24151103773615,797107.792,7.726670752625053,10.508391010873709,20.719748700143793,31.772883678063522,0.21799423358705797,168.6357010895278,165.48892162139455,165.11899932861328,163.40519958496094,169.2051495361328,70
